BIN,HOUSE_NUMBER,STREET_NAME,ZIP,COMM_DISTRICT,BOROUGH,HPD_VIOLATIONS,DOB_VIOLATIONS,TOTAL_VIOLATIONS,DWELLING_UNITS,VIO_UNITS_RATIO,LATITUDE_POINT_Y,LONGITUDE_POINT_X
3061822,177,NORTH 8 STREET,11211,301,Brooklyn,17,1,18,6,3.0,40.7181816101074,-73.9563369750977
3062320,108,NORTH    5 STREET,11249,301,Brooklyn,11,0,11,3,3.666666,40.7172813415527,-73.9602737426758
3062697,48,MARCY AVENUE,11211,301,Brooklyn,53,0,53,4,13.25,40.7126884460449,-73.955451965332
3062701,335,GRAND STREET,11211,301,Brooklyn,12,0,12,4,3.0,40.7127494812012,-73.9560394287109
3062797,212,GRAND STREET,11211,301,Brooklyn,31,1,32,8,4.0,40.7138404846191,-73.9602966308594
3062995,183,SOUTH 2 STREET,11211,301,Brooklyn,47,15,62,3,20.666666,40.7127990722656,-73.9601593017578
3063041,354,SOUTH    1 STREET,11211,301,Brooklyn,19,11,30,8,3.75,40.7104682922363,-73.9529571533203
3063208,378,HOOPER STREET,11211,301,Brooklyn,38,0,38,8,4.75,40.7094116210938,-73.9523391723633
3063229,62,SOUTH    3 STREET,11249,301,Brooklyn,0,14,14,4,3.5,40.7133598327637,-73.9657211303711
3063350,338,SOUTH    3 STREET,11211,301,Brooklyn,102,4,106,41,2.585365,40.709098815918,-73.9538192749023
3063425,333,BERRY STREET,11249,301,Brooklyn,11,6,17,4,4.25,40.7121505737305,-73.9644927978516
3063628,11,NEW MONTROSE AVENUE,11211,301,Brooklyn,101,0,101,35,2.885714,40.7067489624023,-73.951286315918
3063659,78,SOUTH    6 STREET,11249,301,Brooklyn,7,6,13,4,3.25,40.7108993530273,-73.9655838012695
3063772,104,CLAY STREET,11222,301,Brooklyn,24,0,24,8,3.0,40.7364807128906,-73.9540023803711
3063903,90,EAGLE STREET,11222,301,Brooklyn,49,0,49,6,8.166666,40.7347297668457,-73.9573287963867
3063943,111,FREEMAN STREET,11222,301,Brooklyn,19,0,19,6,3.166666,40.7344512939453,-73.9572830200195
3064081,189,GREEN STREET,11222,301,Brooklyn,29,0,29,6,4.833333,40.734058380127,-73.9537887573242
3064137,220,FRANKLIN STREET,11222,301,Brooklyn,19,14,33,8,4.125,40.7332000732422,-73.9578475952148
3064215,336,MC GUINNESS BOULEVARD,11222,301,Brooklyn,23,1,24,6,4.0,40.7339096069336,-73.9518890380859
3064254,202,FRANKLIN STREET,11222,301,Brooklyn,20,0,20,6,3.333333,40.7324295043945,-73.9577178955078
3064326,196,HURON STREET,11222,301,Brooklyn,112,4,116,6,19.333333,40.7329406738281,-73.9534301757813
3064339,183,INDIA STREET,11222,301,Brooklyn,28,0,28,8,3.5,40.732738494873,-73.9525833129883
3065140,880,MANHATTAN AVENUE,11222,301,Brooklyn,19,0,19,4,4.75,40.7297706604004,-73.9537734985352
3065292,183,GUERNSEY STREET,11222,301,Brooklyn,54,9,63,8,7.875,40.7269401550293,-73.9549179077148
3065315,1074,LORIMER STREET,11222,301,Brooklyn,83,5,88,8,11.0,40.7275085449219,-73.9536437988281
3066403,40A,JEWEL STREET,11222,301,Brooklyn,9,0,9,3,3.0,40.7267913818359,-73.9462432861328
3067581,35,BROOME STREET,11222,301,Brooklyn,9,0,9,3,3.0,40.7224502563477,-73.9458694458008
3067787,687,MEEKER AVENUE,11222,301,Brooklyn,5,18,23,6,3.833333,40.7232093811035,-73.9399108886719
3067961,174,BAYARD STREET,11222,301,Brooklyn,13,0,13,3,4.333333,40.7203598022461,-73.9452362060547
3068023,593,MEEKER AVENUE,11222,301,Brooklyn,15,1,16,4,4.0,40.7216606140137,-73.9421920776367
3068287,97,JACKSON STREET,11211,301,Brooklyn,69,0,69,6,11.5,40.7165985107422,-73.947509765625
3069476,234,POWERS STREET,11211,301,Brooklyn,19,0,19,6,3.166666,40.7123908996582,-73.9415435791016
3069482,90,BUSHWICK AVENUE,11211,301,Brooklyn,82,3,85,12,7.083333,40.7121391296387,-73.9410171508789
3069578,224,MANHATTAN AVENUE,11206,301,Brooklyn,12,4,16,5,3.2,40.7109489440918,-73.9452667236328
3069591,706,GRAND STREET,11211,301,Brooklyn,21,0,21,6,3.5,40.7113494873047,-73.9444198608398
3069674,61,TEN EYCK STREET,11206,301,Brooklyn,35,0,35,8,4.375,40.7099990844727,-73.9480133056641
3069679,51,TEN EYCK STREET,11206,301,Brooklyn,33,5,38,6,6.333333,40.7099304199219,-73.9484481811523
3069828,111,KINGSLAND AVENUE,11222,301,Brooklyn,19,0,19,5,3.8,40.7201805114746,-73.9410018920898
3070195,19,KINGSLAND AVENUE,11211,301,Brooklyn,32,0,32,6,5.333333,40.7165908813477,-73.9404602050781
3070306,983,METROPOLITAN AVENUE,11211,301,Brooklyn,58,0,58,6,9.666666,40.7147407531738,-73.9367065429688
3070414,16,JUDGE STREET,11211,301,Brooklyn,32,0,32,8,4.0,40.713451385498,-73.9401016235352
3070672,107,GRATTAN STREET,11237,301,Brooklyn,18,1,19,6,3.166666,40.7063217163086,-73.9289169311523
3070709,147,THAMES STREET,11237,301,Brooklyn,37,0,37,6,6.166666,40.705940246582,-73.9268264770508
3070717,127,THAMES STREET,11237,301,Brooklyn,27,0,27,8,3.375,40.7057914733887,-73.9277267456055
3071108,140,MANHATTAN AVENUE,11206,301,Brooklyn,11,0,11,3,3.666666,40.7075500488281,-73.9446563720703
3071111,128,MESEROLE STREET,11206,301,Brooklyn,16,0,16,3,5.333333,40.707820892334,-73.9447631835938
3071327,23,INGRAHAM STREET,11206,301,Brooklyn,29,0,29,6,4.833333,40.7071495056152,-73.9328231811523
3071449,82,GRAHAM AVENUE,11206,301,Brooklyn,35,0,35,6,5.833333,40.7039794921875,-73.9423828125
3071599,681,BROADWAY,11206,301,Brooklyn,19,1,20,4,5.0,40.7020492553711,-73.9437408447266
3071729,19,PARK STREET,11206,304,Brooklyn,6,9,15,5,3.0,40.6996612548828,-73.9386596679688
3071756,23,LOCUST STREET,11206,304,Brooklyn,10,0,10,3,3.333333,40.6994018554688,-73.9377365112305
3071760,15,LOCUST STREET,11206,304,Brooklyn,25,0,25,6,4.166666,40.6991806030273,-73.9379577636719
3071766,12,LOCUST STREET,11206,304,Brooklyn,30,0,30,5,6.0,40.6988105773926,-73.9376068115234
3071831,884,FLUSHING AVENUE,11206,304,Brooklyn,19,0,19,6,3.166666,40.7018203735352,-73.9364013671875
3071842,942,FLUSHING AVENUE,11206,304,Brooklyn,61,1,62,6,10.333333,40.7025489807129,-73.9335327148438
3071929,180,NOLL STREET,11237,304,Brooklyn,25,13,38,3,12.666666,40.7038307189941,-73.9298934936523
3071994,1086,FLUSHING AVENUE,11237,304,Brooklyn,0,35,35,5,7.0,40.7048797607422,-73.9276885986328
3072101,190,KNICKERBOCKER AVENUE,11237,304,Brooklyn,22,0,22,6,3.666666,40.7035903930664,-73.9272689819336
3072128,414,MELROSE STREET,11237,304,Brooklyn,49,0,49,8,6.125,40.7047805786133,-73.9266128540039
3072142,317,JEFFERSON STREET,11237,304,Brooklyn,19,0,19,5,3.8,40.704891204834,-73.9260406494141
3072150,299,JEFFERSON STREET,11237,304,Brooklyn,26,0,26,8,3.25,40.7043991088867,-73.9265289306641
3072236,127,EVERGREEN AVENUE,11206,304,Brooklyn,26,0,26,8,3.25,40.6991806030273,-73.9307708740234
3072281,194,JEFFERSON STREET,11206,304,Brooklyn,14,0,14,4,3.5,40.7015800476074,-73.9285888671875
3072307,240,JEFFERSON STREET,11237,304,Brooklyn,16,5,21,6,3.5,40.7026214599609,-73.9275665283203
3072360,318,JEFFERSON STREET,11237,304,Brooklyn,29,0,29,8,3.625,40.7046890258789,-73.9255294799805
3072366,32,IRVING AVENUE,11237,304,Brooklyn,18,0,18,4,4.5,40.7048797607422,-73.925178527832
3072379,299,TROUTMAN STREET,11237,304,Brooklyn,64,5,69,8,8.625,40.7041893005371,-73.9255676269531
3072485,142,CENTRAL AVENUE,11221,304,Brooklyn,45,0,45,6,7.5,40.6996192932129,-73.9283828735352
3072578,149,STARR STREET,11237,304,Brooklyn,36,0,36,6,6.0,40.7036514282227,-73.924919128418
3072675,26,DITMARS STREET,11221,304,Brooklyn,11,0,11,3,3.666666,40.6967010498047,-73.9330062866211
3072732,96,STARR STREET,11237,304,Brooklyn,30,0,30,6,5.0,40.7021408081055,-73.9256896972656
3072799,58,ST NICHOLAS AVENUE,11237,304,Brooklyn,72,2,74,6,12.333333,40.7066802978516,-73.9206619262695
3072804,55,ST NICHOLAS AVENUE,11237,304,Brooklyn,18,0,18,6,3.0,40.7070693969727,-73.9203872680664
3072879,992,WILLOUGHBY AVENUE,11221,304,Brooklyn,23,6,29,8,3.625,40.6984214782715,-73.9292526245117
3072912,140,WILSON AVENUE,11237,304,Brooklyn,13,0,13,3,4.333333,40.7004890441895,-73.9258575439453
3072930,1114,WILLOUGHBY AVENUE,11237,304,Brooklyn,29,1,30,6,5.0,40.7011604309082,-73.9254837036133
3072938,1130,WILLOUGHBY AVENUE,11237,304,Brooklyn,40,0,40,6,6.666666,40.7015991210938,-73.9250564575195
3073013,409,SUYDAM STREET,11237,304,Brooklyn,121,0,121,6,20.166666,40.7058601379395,-73.9203796386719
3073076,715,BUSHWICK AVENUE,11221,304,Brooklyn,79,0,79,3,26.333333,40.6966209411621,-73.9303894042969
3073089,567,HART STREET,11221,304,Brooklyn,38,1,39,4,9.75,40.6971397399902,-73.9293365478516
3073178,296,KNICKERBOCKER AVENUE,11237,304,Brooklyn,19,0,19,4,4.75,40.7016181945801,-73.9237976074219
3073229,883,HART STREET,11237,304,Brooklyn,20,0,20,6,3.333333,40.7030792236328,-73.9219665527344
3073235,865,HART STREET,11237,304,Brooklyn,23,2,25,6,4.166666,40.702751159668,-73.9222869873047
3073528,714,HART STREET,11221,304,Brooklyn,43,1,44,6,7.333333,40.6994400024414,-73.9248428344727
3073551,177,WILSON AVENUE,11237,304,Brooklyn,0,13,13,4,3.25,40.699878692627,-73.9237670898438
3073584,325,KNICKERBOCKER AVENUE,11237,304,Brooklyn,36,0,36,6,6.0,40.7014808654785,-73.9225463867188
3073607,124,IRVING AVENUE,11237,304,Brooklyn,29,0,29,7,4.142857,40.7028617858887,-73.9216384887695
3073631,1549,DE KALB AVENUE,11237,304,Brooklyn,21,3,24,6,4.0,40.7029190063477,-73.9209594726563
3073701,109,ST NICHOLAS AVENUE,11237,304,Brooklyn,56,0,56,6,9.333333,40.7058410644531,-73.9183197021484
3073753,1131,BROADWAY,11221,304,Brooklyn,6,4,10,3,3.333333,40.6937294006348,-73.9289703369141
3073912,1582,DE KALB AVENUE,11237,304,Brooklyn,33,0,33,6,5.5,40.7033805847168,-73.9197998046875
3073935,131,WYCKOFF AVENUE,11237,304,Brooklyn,29,0,29,8,3.625,40.7042388916016,-73.9186477661133
3074051,312,EVERGREEN AVENUE,11221,304,Brooklyn,63,0,63,6,10.5,40.6953010559082,-73.9262466430664
3074120,202,WILSON AVENUE,11237,304,Brooklyn,23,0,23,5,4.6,40.6988182067871,-73.9229202270508
3074132,174,STOCKHOLM STREET,11237,304,Brooklyn,13,0,13,4,3.25,40.6995010375977,-73.9224166870117
3074135,180,STOCKHOLM STREET,11237,304,Brooklyn,44,0,44,6,7.333333,40.6996688842773,-73.9222564697266
3074147,364,KNICKERBOCKER AVENUE,11237,304,Brooklyn,33,0,33,4,8.25,40.7003784179688,-73.9216232299805
3074155,191,STANHOPE STREET,11237,304,Brooklyn,30,0,30,6,5.0,40.6999397277832,-73.9215316772461
3074183,232,STOCKHOLM STREET,11237,304,Brooklyn,24,0,24,6,4.0,40.7011985778809,-73.9207611083984
3074193,252,STOCKHOLM STREET,11237,304,Brooklyn,26,0,26,8,3.25,40.7017517089844,-73.9202194213867
3074483,232,STANHOPE STREET,11237,304,Brooklyn,49,0,49,6,8.166666,40.7008781433105,-73.9199066162109
3074494,182,IRVING AVENUE,11237,304,Brooklyn,19,0,19,6,3.166666,40.7015419006348,-73.9193115234375
3074511,241,HIMROD STREET,11237,304,Brooklyn,18,2,20,6,3.333333,40.7006607055664,-73.9196624755859
3074545,138,WYCKOFF AVENUE,11237,304,Brooklyn,21,2,23,6,3.833333,40.7029914855957,-73.9175491333008
3074548,144,WYCKOFF AVENUE,11237,304,Brooklyn,24,1,25,8,3.125,40.7028503417969,-73.9173278808594
3074557,287,HIMROD STREET,11237,304,Brooklyn,20,0,20,6,3.333333,40.7020797729492,-73.9182586669922
3074697,64,HIMROD STREET,11221,304,Brooklyn,54,0,54,6,9.0,40.6953811645508,-73.9241333007813
3074879,370,HIMROD STREET,11237,304,Brooklyn,7,15,22,3,7.333333,40.7031707763672,-73.9164733886719
3075100,306,HARMAN STREET,11237,304,Brooklyn,57,0,57,6,9.5,40.6999702453613,-73.9184494018555
3075140,235,IRVING AVENUE,11237,304,Brooklyn,102,9,111,6,18.5,40.7008285522461,-73.9170913696289
3075167,1433,GREENE AVENUE,11237,304,Brooklyn,34,0,34,6,5.666666,40.7018890380859,-73.9161529541016
3075168,1431,GREENE AVENUE,11237,304,Brooklyn,25,0,25,6,4.166666,40.701831817627,-73.9161987304688
3075188,203,WYCKOFF AVENUE,11237,304,Brooklyn,34,1,35,6,5.833333,40.7025489807129,-73.9159698486328
3075229,209,ST NICHOLAS AVENUE,11237,304,Brooklyn,9,0,9,3,3.0,40.7036399841309,-73.9146118164063
3075274,1269,BROADWAY,11221,304,Brooklyn,37,0,37,6,6.166666,40.6912994384766,-73.9246520996094
3075432,1386,GREENE AVENUE,11237,304,Brooklyn,13,12,25,6,4.166666,40.6998710632324,-73.9173736572266
3075472,1422,GREENE AVENUE,11237,304,Brooklyn,150,11,161,6,26.833333,40.7007217407227,-73.9165496826172
3075647,160,BLEEKER STREET,11221,304,Brooklyn,72,7,79,6,13.166666,40.6963882446289,-73.9196319580078
3075739,334,BLEECKER STREET,11237,304,Brooklyn,23,0,23,6,3.833333,40.7007789611816,-73.9153137207031
3075764,327,MENAHAN STREET,11237,304,Brooklyn,37,0,37,6,6.166666,40.700611114502,-73.9150238037109
3075769,317,MENAHAN STREET,11237,304,Brooklyn,9,0,9,3,3.0,40.7003402709961,-73.915283203125
3075773,309,MENAHAN STREET,11237,304,Brooklyn,117,0,117,6,19.5,40.7001304626465,-73.9154968261719
3075776,257,WYCKOFF AVENUE,11237,304,Brooklyn,13,0,13,3,4.333333,40.701530456543,-73.9141693115234
3075861,20,MENAHAN STREET,11221,304,Brooklyn,26,0,26,6,4.333333,40.692699432373,-73.9221115112305
3075916,1466,MYRTLE AVENUE,11237,304,Brooklyn,21,0,21,6,3.5,40.698860168457,-73.9159469604492
3076119,533,KNICKERBOCKER AVENUE,11221,304,Brooklyn,30,0,30,8,3.75,40.6976013183594,-73.9157333374023
3076155,285,LINDEN STREET,11237,304,Brooklyn,20,0,20,4,5.0,40.6985282897949,-73.9147186279297
3076164,269,LINDEN STREET,11237,304,Brooklyn,30,0,30,3,10.0,40.6980514526367,-73.9151763916016
3076168,261,LINDEN STREET,11237,304,Brooklyn,34,0,34,8,4.25,40.6977806091309,-73.9154434204102
3076171,255,LINDEN STREET,11237,304,Brooklyn,38,0,38,8,4.75,40.6977806091309,-73.9154434204102
3076197,291,WYCKOFF AVENUE,11237,304,Brooklyn,71,0,71,6,11.833333,40.7007789611816,-73.9128036499023
3076208,395,LINDEN STREET,11237,304,Brooklyn,24,8,32,6,5.333333,40.7008094787598,-73.912467956543
3076295,1337,GATES AVENUE,11221,304,Brooklyn,44,2,46,15,3.066666,40.6951484680176,-73.9168701171875
3076323,306,LINDEN STREET,11237,304,Brooklyn,15,0,15,3,5.0,40.6983184814453,-73.9142684936523
3076390,406,LINDEN STREET,11237,304,Brooklyn,10,0,10,3,3.333333,40.7009506225586,-73.9116134643555
3076409,1112,GATES AVENUE,11221,304,Brooklyn,19,0,19,3,6.333333,40.6902389526367,-73.9209823608398
3076440,1328,GATES AVENUE,11221,304,Brooklyn,25,0,25,6,4.166666,40.6947593688965,-73.9164810180664
3076458,181,PALMETTO STREET,11221,304,Brooklyn,18,2,20,6,3.333333,40.6941795349121,-73.9166488647461
3076539,1098,BUSHWICK AVENUE,11221,304,Brooklyn,3,7,10,3,3.333333,40.6899299621582,-73.9194564819336
3076587,120,PALMETTO STREET,11221,304,Brooklyn,32,0,32,6,5.333333,40.6923294067383,-73.9177474975586
3076704,14,WOODBINE STREET,11221,304,Brooklyn,19,2,21,3,7.0,40.6888999938965,-73.9199523925781
3076719,1104,BUSHWICK AVENUE,11221,304,Brooklyn,18,0,18,6,3.0,40.6897888183594,-73.9192504882813
3076855,339,WOODBINE STREET,11237,304,Brooklyn,15,0,15,4,3.75,40.6972503662109,-73.9124603271484
3076856,335,WOODBINE STREET,11237,304,Brooklyn,0,18,18,4,4.5,40.6971893310547,-73.9125213623047
3076909,657,KNICKERBOCKER AVENUE,11221,304,Brooklyn,24,0,24,8,3.0,40.6953582763672,-73.9117965698242
3076911,653,KNICKERBOCKER AVENUE,11221,304,Brooklyn,28,0,28,8,3.5,40.6954383850098,-73.9119567871094
3077211,1230,PUTNAM AVENUE,11221,304,Brooklyn,314,1,315,3,105.0,40.6913185119629,-73.9152297973633
3077430,407,CORNELIA STREET,11237,304,Brooklyn,20,0,20,3,6.666666,40.6975288391113,-73.9086685180664
3077432,1505,BROADWAY,11221,304,Brooklyn,48,1,49,8,6.125,40.6872100830078,-73.9175796508789
3077449,38,CORNELIA STREET,11221,304,Brooklyn,0,35,35,3,11.666666,40.6881790161133,-73.9171371459961
3077450,40,CORNELIA STREET,11221,304,Brooklyn,66,12,78,3,26.0,40.6882209777832,-73.9170989990234
3077456,1182,BUSHWICK AVENUE,11221,304,Brooklyn,15,0,15,4,3.75,40.6884117126465,-73.9168319702148
3077477,1035,JEFFERSON AVENUE,11221,304,Brooklyn,10,1,11,3,3.666666,40.6874389648438,-73.9174118041992
3077575,479,CENTRAL AVENUE,11221,304,Brooklyn,144,0,144,5,28.8,40.6916007995605,-73.9132690429688
3077627,248,CORNELIA STREET,11221,304,Brooklyn,29,0,29,5,5.8,40.6934089660645,-73.9120101928711
3077815,1218,BUSHWICK AVENUE,11221,304,Brooklyn,25,3,28,7,4.0,40.6877899169922,-73.9157104492188
3077827,989,HANCOCK STREET,11221,304,Brooklyn,38,0,38,3,12.666666,40.6871299743652,-73.9165420532227
3077973,1302,JEFFERSON AVENUE,11221,304,Brooklyn,137,4,141,7,20.142857,40.6929016113281,-73.911506652832
3078064,476,IRVING AVENUE,11237,304,Brooklyn,12,0,12,3,4.0,40.695369720459,-73.908447265625
3078080,1339,HANCOCK STREET,11237,304,Brooklyn,22,0,22,6,3.666666,40.6945610046387,-73.9092407226563
3078081,1335,HANCOCK STREET,11237,304,Brooklyn,80,0,80,6,13.333333,40.6945114135742,-73.9093017578125
3078085,1323,HANCOCK STREET,11237,304,Brooklyn,41,0,41,6,6.833333,40.6942901611328,-73.9095230102539
3078095,1452,JEFFERSON AVENUE,11237,304,Brooklyn,9,0,9,3,3.0,40.6959609985352,-73.9085235595703
3078125,1518,JEFFERSON AVENUE,11237,304,Brooklyn,19,3,22,6,3.666666,40.6970710754395,-73.9072494506836
3078334,517,WILSON AVENUE,11221,304,Brooklyn,67,0,67,6,11.166666,40.6922798156738,-73.9104232788086
3078335,515,WILSON AVENUE,11221,304,Brooklyn,33,0,33,6,5.5,40.6923294067383,-73.9104995727539
3078575,552,CENTRAL AVENUE,11207,304,Brooklyn,17,0,17,4,4.25,40.6902313232422,-73.9117889404297
3078779,93,ELDERT STREET,11207,304,Brooklyn,17,0,17,3,5.666666,40.6877288818359,-73.9124374389648
3078861,559,WILSON AVENUE,11207,304,Brooklyn,106,0,106,6,17.666666,40.6914901733398,-73.9090270996094
3078863,555,WILSON AVENUE,11207,304,Brooklyn,24,1,25,4,6.25,40.6915702819824,-73.9091720581055
3078876,1242,HALSEY STREET,11207,304,Brooklyn,67,0,67,3,22.333333,40.692310333252,-73.9084014892578
3078985,35,COVERT STREET,11207,304,Brooklyn,68,1,69,6,11.5,40.685920715332,-73.9130401611328
3079374,326,COVERT STREET,11237,304,Brooklyn,31,0,31,6,5.166666,40.6931304931641,-73.9052505493164
3079375,328,COVERT STREET,11237,304,Brooklyn,25,0,25,6,4.166666,40.6931800842285,-73.9051971435547
3079494,186,SCHAEFER STREET,11207,304,Brooklyn,61,0,61,6,10.166666,40.6895408630371,-73.907600402832
3079538,226,SCHAEFER STREET,11207,304,Brooklyn,41,3,44,6,7.333333,40.6907081604004,-73.9064636230469
3079562,1269,DECATUR STREET,11207,304,Brooklyn,18,0,18,6,3.0,40.6905212402344,-73.9061813354492
3079586,278,SCHAEFER STREET,11237,304,Brooklyn,38,0,38,3,12.666666,40.6921806335449,-73.9050064086914
3079740,1198,DECATUR STREET,11207,304,Brooklyn,38,0,38,3,12.666666,40.6887512207031,-73.9072113037109
3079800,225,COOPER STREET,11207,304,Brooklyn,39,0,39,5,7.8,40.6902084350586,-73.9053115844727
3079876,1398,BUSHWICK AVENUE,11207,304,Brooklyn,12,0,12,3,4.0,40.6845283508301,-73.9100036621094
3079945,711,EVERGREEN AVENUE,11207,304,Brooklyn,38,1,39,5,7.8,40.6862182617188,-73.908073425293
3079947,110,COOPER STREET,11207,304,Brooklyn,23,0,23,6,3.833333,40.6865615844727,-73.9081878662109
3080003,643,CENTRAL AVENUE,11207,304,Brooklyn,19,0,19,6,3.166666,40.6879615783691,-73.906867980957
3080021,642,WILSON AVENUE,11207,304,Brooklyn,35,0,35,6,5.833333,40.6888618469238,-73.9054183959961
3080371,24,GRANITE STREET,11207,304,Brooklyn,33,0,33,6,5.5,40.6822814941406,-73.9077072143555
3080687,1731,PITKIN AVENUE,11212,316,Brooklyn,23,0,23,4,5.75,40.6701507568359,-73.9092636108398
3080688,1729,PITKIN AVENUE,11212,316,Brooklyn,36,3,39,6,6.5,40.6701393127441,-73.9093627929688
3080699,1352,EAST NEW YORK AVENUE,11212,316,Brooklyn,37,0,37,10,3.7,40.6692581176758,-73.917236328125
3080752,45,CHESTER STREET,11212,316,Brooklyn,8,2,10,3,3.333333,40.6707000732422,-73.9116897583008
3080798,685,RALPH AVENUE,11212,316,Brooklyn,76,0,76,4,19.0,40.666130065918,-73.9222030639648
3080809,2022,UNION STREET,11212,316,Brooklyn,51,0,51,4,12.75,40.6668586730957,-73.9220123291016
3080811,2026,UNION STREET,11212,316,Brooklyn,21,0,21,4,5.25,40.6667213439941,-73.9219665527344
3080906,83,LEGION STREET,11212,316,Brooklyn,25,0,25,4,6.25,40.6669387817383,-73.9175491333008
3081018,130,BRISTOL STREET,11212,316,Brooklyn,35,0,35,4,8.75,40.668098449707,-73.9125595092773
3081209,129,TAPSCOTT STREET,11212,316,Brooklyn,20,0,20,6,3.333333,40.6646995544434,-73.9199905395508
3081286,141,LEGION STREET,11212,316,Brooklyn,113,0,113,3,37.666666,40.6653900146484,-73.9171371459961
3081473,202,TAPSCOTT STREET,11212,316,Brooklyn,20,0,20,4,5.0,40.6629905700684,-73.9200668334961
3081741,189,DUMONT AVENUE,11212,316,Brooklyn,49,0,49,6,8.166666,40.663818359375,-73.912727355957
3082001,348,LEGION STREET,11212,316,Brooklyn,15,0,15,4,3.75,40.6601181030273,-73.916389465332
3082018,307,LEGION STREET,11212,316,Brooklyn,35,0,35,4,8.75,40.6611518859863,-73.9160690307617
3082069,77,RIVERDALE AVENUE,11212,316,Brooklyn,12,0,12,4,3.0,40.6604385375977,-73.913948059082
3082086,362,AMBOY STREET,11212,316,Brooklyn,14,0,14,4,3.5,40.6613311767578,-73.9128112792969
3082115,764,HOPKINSON AVENUE,11212,316,Brooklyn,16,0,16,3,5.333333,40.6617584228516,-73.9119186401367
3082185,385,LEGION STREET,11212,316,Brooklyn,48,0,48,4,12.0,40.6591911315918,-73.9155731201172
3082191,367,LEGION STREET,11212,316,Brooklyn,32,1,33,4,8.25,40.6595993041992,-73.9156723022461
3082211,41,NEWPORT STREET,11212,316,Brooklyn,50,0,50,4,12.5,40.6588401794434,-73.9140472412109
3082234,2202,STRAUSS STREET,11212,316,Brooklyn,16,0,16,4,4.0,40.6598815917969,-73.9143371582031
3082249,2253,STRAUSS STREET,11212,316,Brooklyn,20,0,20,3,6.666666,40.6588096618652,-73.9134902954102
3082254,438,HERZL STREET,11212,316,Brooklyn,36,0,36,4,9.0,40.6590690612793,-73.9131927490234
3082266,431,HERZL STREET,11212,316,Brooklyn,18,0,18,4,4.5,40.6592903137207,-73.9126586914063
3082269,423,HERZL STREET,11212,316,Brooklyn,22,0,22,4,5.5,40.6594886779785,-73.9126968383789
3082281,110,RIVERDALE AVENUE,11212,316,Brooklyn,34,0,34,4,8.5,40.6601600646973,-73.9126510620117
3082335,865,HOPKINSON AVENUE,11212,316,Brooklyn,32,0,32,6,5.333333,40.6593208312988,-73.9107971191406
3082369,451,BRISTOL STREET,11212,316,Brooklyn,53,0,53,4,13.25,40.6600494384766,-73.909912109375
3082397,912,SARATOGA AVENUE,11212,316,Brooklyn,80,0,80,35,2.285714,40.6582298278809,-73.9149780273438
3082414,905,SARATOGA AVENUE,11212,316,Brooklyn,18,0,18,4,4.5,40.6583404541016,-73.9143218994141
3082420,2268,STRAUSS STREET,11212,316,Brooklyn,20,0,20,4,5.0,40.6581993103027,-73.9139175415039
3082454,2265,STRAUSS STREET,11212,316,Brooklyn,26,0,26,4,6.5,40.6583595275879,-73.9133834838867
3082456,2259,STRAUSS STREET,11212,316,Brooklyn,33,0,33,4,8.25,40.6585006713867,-73.9134063720703
3082465,472,HERZL STREET,11212,316,Brooklyn,0,12,12,4,3.0,40.6581497192383,-73.9129409790039
3082478,485,HERZL STREET,11212,316,Brooklyn,36,0,36,4,9.0,40.6578598022461,-73.9122924804688
3082510,73,LOTT AVENUE,11212,316,Brooklyn,60,0,60,12,5.0,40.6576614379883,-73.911247253418
3082585,513,BRISTOL STREET,11212,316,Brooklyn,47,4,51,4,12.75,40.6584510803223,-73.9095001220703
